_id,charger_id,restaurant_tripadvisor_id,distance
110,1,18719427,456
111,1,4768313,692
112,1,4768316,730
113,1,12511809,734
114,1,13224877,792
115,1,7124292,835
116,1,19589841,835
117,1,5048750,891
118,1,17605733,923
119,1,7793828,925
120,1,7124282,992
121,2,7682064,22
122,2,7123317,275
123,2,1063129,275
124,2,6835557,275
125,2,11796846,343
126,2,10465142,371
127,2,4092920,390
128,2,1494550,405
129,2,7109216,493
130,2,18850292,989
131,2,4768506,992
132,3,7123777,74
133,3,4768592,74
134,3,7123641,74
135,3,11801838,76
136,3,7383773,110
137,3,14004389,123
138,3,7123430,123
139,3,7124295,329
140,3,12929056,500
141,3,7124323,682
142,3,7710840,731
143,3,15218975,732
144,3,7123665,747
145,3,7123338,747
146,4,12929056,78
147,4,7124295,208
148,4,7124323,230
149,4,7383773,404
150,4,11801838,416
151,4,7123641,455
152,4,4768592,455
153,4,7123777,455
154,4,7123430,479
155,4,14004389,479
156,5,4768501,76
157,5,12876589,116
158,5,7123655,134
159,5,7124194,148
160,5,4768289,177
161,5,12624523,226
162,5,4768574,266
163,5,5048723,467
164,5,7123734,665
165,5,7123720,674
166,6,12423074,727
167,6,12995004,727
168,6,14151349,499
169,6,13433281,499
170,6,8058701,499
171,6,7123772,499
172,6,13316353,29
173,6,7123483,29
174,6,14134029,73
175,6,18543410,73
176,6,14158005,73
177,6,13455352,82
178,6,13280369,108
179,6,13197442,132
180,6,13402050,132
181,6,7124340,183
182,6,19713421,233
183,6,13085951,240
184,6,7124461,371
185,6,7123381,371
186,6,7246455,371
187,6,4769259,414
188,6,7123359,444
189,6,12999215,517
190,6,7705806,529
191,6,4767808,551
192,6,10815462,605
193,6,4768028,648
194,6,4769469,669
195,6,14072445,686
196,7,4209799,759
197,8,11815263,363
198,8,4768031,366
199,8,7123722,453
200,8,10179249,475
201,8,7123540,507
202,8,7123981,569
203,8,7124124,612
204,8,7123529,623
205,8,13111916,638
206,8,4768028,668
207,8,7124077,687
208,8,14894803,700
209,8,14139596,737
210,8,7124236,770
211,8,7123355,786
212,8,4769432,797
213,8,7123376,811
214,8,2413532,823
215,8,11535840,840
216,8,12999215,859
217,8,13185587,915
218,8,7124448,945
219,8,4768800,989
220,9,4769024,100
221,9,7123548,385
222,9,7123843,385
223,9,7124450,396
224,9,7687448,546
225,9,4768617,550
226,9,4768689,587
227,9,4768661,587
228,9,4570813,605
229,9,1092987,613
230,9,4768698,626
231,9,8604650,645
232,9,7123291,646
233,9,4769725,656
234,9,7123399,673
235,9,7123706,675
236,9,7123210,706
237,9,7124250,706
238,9,5414763,780
239,9,7124415,785
240,9,5536159,801
241,9,15133084,805
242,9,4768272,840
243,9,6104381,845
244,9,4767515,981
245,9,7687452,987
246,9,7123458,993
247,9,7124536,993
248,9,10126735,993
249,10,7246384,198
250,10,7123640,198
251,10,3588914,417
252,10,7123725,431
253,10,4767654,461
254,10,17848151,507
255,10,18852385,776
256,10,4769006,783
257,10,14791822,847
258,10,14971422,858
259,10,1929713,873
260,10,7124178,891
261,10,14791821,904
262,10,4769151,972
263,11,14122459,60
264,11,5048767,60
265,11,7123896,87
266,11,4769512,98
267,11,4768949,193
268,11,12839114,218
269,11,17420599,226
270,11,10540443,230
271,11,12434426,235
272,11,4768898,239
273,11,19271784,313
274,11,7123785,317
275,11,7123906,317
276,11,4981712,317
277,11,7123302,321
278,11,15073681,326
279,11,2155284,355
280,11,12922095,359
281,11,4768072,364
282,11,13336402,377
283,11,4769423,384
284,11,3194571,392
285,11,4769537,393
286,11,11640551,419
287,11,18930284,429
288,11,17635759,435
289,11,10288709,446
290,11,10288706,446
291,11,12875677,557
292,11,3329912,560
293,12,7734004,57
294,12,17594235,84
295,12,10481691,86
296,12,4769003,91
297,12,7124015,91
298,12,12957129,93
299,12,787792,96
300,12,4767917,116
301,12,19503575,129
302,12,1141090,130
303,12,12006041,133
304,12,19647886,135
305,12,4767881,145
306,12,1786768,154
307,12,4769088,154
308,12,7161067,161
309,12,17503386,161
310,12,14762373,165
311,12,13122818,166
312,12,1892543,167
313,12,14178170,171
314,12,7123553,186
315,12,15675650,198
316,12,12640373,202
317,12,7287883,202
318,12,4768365,207
319,12,4174075,209
320,12,7123251,210
321,12,18316701,211
322,12,3914491,220
323,13,4769154,716
324,13,13511738,851
325,13,4768075,961
326,14,4769642,56
327,14,4768094,298
328,14,12589975,539
329,14,4768299,562
330,14,4768653,578
331,14,4767480,646
332,14,4769054,682
333,14,12913949,682
334,14,15360732,682
335,14,4768340,798
336,14,12933160,832
337,14,4768677,854
338,14,4758892,862
339,14,4768991,891
340,14,17629489,913
341,14,4768925,914
342,14,11926042,958
343,14,12549382,981
344,14,10161396,994
345,15,4769489,831
346,16,13543777,24
347,18,4768685,340
348,18,14004429,361
349,18,3544286,361
350,18,9858079,371
351,18,13915402,385
352,18,10033161,386
353,18,4768370,437
354,18,5048752,453
355,18,4769277,453
356,18,4768659,462
357,18,16866518,496
358,18,16917112,519
359,18,15011160,543
360,18,9753732,550
361,18,10288786,552
362,18,7343108,556
363,18,10476264,557
364,18,11959356,560
365,18,8372030,560
366,18,12363119,560
367,18,9754358,566
368,18,17600983,611
369,18,10465131,613
370,18,14782829,640
371,18,2706313,659
372,18,12327225,716
373,18,4767487,803
374,18,4767758,892
375,18,19112794,979
376,18,4768331,983
377,20,17457154,300
378,20,4797958,1
379,20,7212316,200
380,20,4798007,245
381,20,10392498,245
382,20,17637045,258
383,20,17420868,298
384,20,4797978,301
385,20,4797966,306
386,20,1076856,310
387,20,4798017,313
388,20,8509682,313
389,20,11949648,319
390,20,10748178,380
391,20,14598040,381
392,20,4797980,424
393,20,4798015,426
394,20,7187941,440
395,20,10478856,442
396,20,8594830,444
397,20,4798009,449
398,20,11890678,451
399,20,5427081,459
400,20,1099646,492
401,20,8647775,498
402,20,4797963,500
403,20,13958296,500
404,20,7358943,510
405,20,4797975,512
406,20,4798003,513
407,23,17541809,216
408,23,5530184,275
409,23,17385809,456
410,23,15181184,490
